id,title,description,price,availability,condition,brand,image_link,link,google_product_category
400113,MOUSE LOGITECH WIRELESS AZUL M170,Mouse wireless azul M170,"77,00 BRL",in stock,new,Logitech,mouse-logitech-m170-azul.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1576,MOUSE LOGITECH WIRELESS PRETO M170,Mouse wireless preto M170,"65,00 BRL",in stock,new,Logitech,mouse-logitech-m170-preto.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1850,MOUSE LOGITECH SEM FIO M650 SIGNATURE PRETO,Mouse sem fio M650 Signature preto,"253,82 BRL",in stock,new,Logitech,mouse-logitech-m650-signature-preto.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1841,MOUSE LOGITECH WIRELESS M310 PRETO,Mouse wireless M310 preto,"130,00 BRL",in stock,new,Logitech,mouse-logitech-m310-preto.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1840,MOUSE LOGITECH WIRELESS M196 BT BRANCO,Mouse wireless M196 BT branco,"92,00 BRL",in stock,new,Logitech,mouse-logitech-m196-branco.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1837,MOUSE LOGITECH WIRELESS ANYWHERE S3 GRAF,Mouse wireless Anywhere S3 grafite,"600,00 BRL",in stock,new,Logitech,mouse-logitech-anywhere-s3.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1290,MOUSE FEASSO SEM FIO FAMS-11,Mouse sem fio FAMS-11,"45,00 BRL",in stock,new,Feasso,mouse-feasso-fams11.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1949,PLACA MAE BRAZILPC A520 AM4 ULTRA,Placa-mãe chipset A520 socket AM4,"555,00 BRL",in stock,new,BrazilPC,placa-mae-brazilpc-a520.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1950,PLACA MAE BRAZILPC H510 1200 DDR4,Placa-mãe H510 socket LGA1200 DDR4,"605,00 BRL",in stock,new,BrazilPC,placa-mae-brazilpc-h510.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1659,CAIXA DE SOM JBL BOOMBOX 3 BLACK,Caixa de som bluetooth JBL Boombox 3 IPX7,"3102,45 BRL",in stock,new,JBL,jbl-boombox-3-black.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1967,KVM 2 PORTAS SWITCH USB,Switch KVM USB com 2 portas,"155,00 BRL",in stock,new,Generico,kvm-2-portas-usb.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1499,SPLITTER HDMI 8 PORTAS KNUK PK-SW100,Splitter HDMI com 8 portas,"180,00 BRL",in stock,new,Knuk,splitter-hdmi-8-portas.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1951,CABO DE REDE CAT6 305M LAN MAX,Cabo de rede CAT6 caixa 305 metros,"860,00 BRL",in stock,new,Lan Max,cabo-rede-cat6-305m-lanmax.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1948,CABO DE REDE CAT6 100M AZUL MPT,Cabo de rede CAT6 azul caixa 100 metros,"261,00 BRL",in stock,new,MPT,cabo-rede-cat6-100m-mpt.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1592,CABO DE REDE CAT6 305M SOHPLUS AZUL,Cabo de rede CAT6 azul caixa 305 metros,"1333,00 BRL",in stock,new,Sohplus,cabo-rede-cat6-305m-sohplus.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1561,SWITCH TP-LINK 16 PORTAS GIGABIT TL-SG1016,Switch Gigabit 16 portas TP-Link,"640,00 BRL",in stock,new,TP-Link,switch-tplink-tl-sg1016.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1351,SWITCH TP-LINK 24 PORTAS GIGABIT SG1024D,Switch Gigabit 24 portas TP-Link,"850,00 BRL",in stock,new,TP-Link,switch-tplink-sg1024d.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1353,SWITCH TP-LINK 8 PORTAS GIGABIT LS1008G,Switch Gigabit 8 portas TP-Link,"183,00 BRL",in stock,new,TP-Link,switch-tplink-ls1008g.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1204,SWITCH TP-LINK 5 PORTAS GIGABIT LS1005G,Switch Gigabit 5 portas TP-Link,"115,00 BRL",in stock,new,TP-Link,switch-tplink-ls1005g.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1058,SWITCH MERCUSYS 8 PORTAS GIGABIT MS108G,Switch Gigabit 8 portas Mercusys,"115,00 BRL",in stock,new,Mercusys,switch-mercusys-ms108g.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1059,SWITCH MERCUSYS 5 PORTAS GIGABIT MS105G,Switch Gigabit 5 portas Mercusys,"84,30 BRL",in stock,new,Mercusys,switch-mercusys-ms105g.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
400548,KVM D-LINK 16 PORTAS USB PS2 KVM-450,Switch KVM 16 portas USB e PS/2,"1655,00 BRL",in stock,new,D-Link,kvm-dlink-kvm450.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1823,CABO CONSOLE USB RJ45,Cabo console USB para RJ45,"70,00 BRL",in stock,new,Generico,cabo-console-usb-rj45.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1631,WEB CAMERA USB FULL HD 1080P,Webcam USB resolução Full HD 1080p,"78,00 BRL",in stock,new,Generico,webcam-usb-fullhd.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
401767,WEBCAM LED 1.5MP USB COM MICROFONE,Webcam USB 1.5MP com microfone,"145,00 BRL",in stock,new,BrazilPC,webcam-led-15mp-brazilpc.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1838,WEBCAM LOGITECH BRIO 100 GRAFITE,Webcam Logitech Brio 100 Full HD,"325,00 BRL",in stock,new,Logitech,webcam-logitech-brio-100.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1869,WEBCAM LOGITECH FULL HD C925E,Webcam Full HD C925E,"685,00 BRL",in stock,new,Logitech,webcam-logitech-c925e.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1870,WEBCAM LOGITECH HD 1280 X 720P C270HD,Webcam HD C270,"220,00 BRL",in stock,new,Logitech,webcam-logitech-c270.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402010,TECLADO OEX GAME ZIGGY MECANICO PRETO TC-607,Teclado mecânico Ziggy TC-607,"355,00 BRL",in stock,new,OEX,teclado-oex-ziggy-tc607.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1695,TECLADO GAMER MEC FORTREK GRAVITY 100,Teclado mecânico Gravity 100,"209,55 BRL",in stock,new,Fortrek,teclado-fortrek-gravity100.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1692,TECLADO GAMER MEC FORTREK GRAVITY 100 BR,Teclado mecânico Gravity 100 BR,"296,13 BRL",in stock,new,Fortrek,teclado-fortrek-gravity100br.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1684,TECLADO GAMER MEC FORTREK GRAVITY 65,Teclado mecânico Gravity 65,"176,19 BRL",in stock,new,Fortrek,teclado-fortrek-gravity65.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1683,TECLADO GAMER MEC FORTREK GRAVITY 80,Teclado mecânico Gravity 80,"197,60 BRL",in stock,new,Fortrek,teclado-fortrek-gravity80.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1579,KIT TECLADO E MOUSE SEM FIO SILENT LOGITECH MK295,Kit teclado e mouse MK295 Silent,"260,00 BRL",in stock,new,Logitech,kit-logitech-mk295.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1411,KIT TECLADO E MOUSE FORTREK RANGER 7055I,Kit teclado e mouse Ranger 7055I,"149,78 BRL",in stock,new,Fortrek,kit-fortrek-ranger7055i.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1343,KIT TECLADO E MOUSE LOGITECH WIRELESS MK220,Kit teclado e mouse MK220,"170,00 BRL",in stock,new,Logitech,kit-logitech-mk220.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1578,KIT TECLADO E MOUSE LOGITECH WIRELESS MK235,Kit teclado e mouse MK235,"192,00 BRL",in stock,new,Logitech,kit-logitech-mk235.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1842,KIT TECLADO E MOUSE LOGITECH WIRELESS MK250,Kit teclado e mouse MK250,"200,00 BRL",in stock,new,Logitech,kit-logitech-mk250.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
